name,timestamp,tau
wisard_2,1428991021000,25892.44666467289
wisard_2,1428991442000,25850.080567957204
wisard_2,1428991742000,9912.851653649042
wisard_2,1428991862000,26099.801986511808
wisard_2,1428992162000,13144.197448104378
wisard_2,1428993602000,10020.037619601513
wisard_2,1428993842000,26502.85323672986
wisard_2,1428993962000,10122.407575120807
wisard_2,1428994022000,13318.235368547525
wisard_2,1428995162000,13508.50039632873
wisard_2,1428995582000,13633.036871516311
wisard_2,1428995642000,42515.48087485323
wisard_2,1428995702000,13573.426643198583
wisard_2,1428996062000,13597.157134062842
wisard_3,1429070582000,26657.831975560286
wisard_3,1429070702000,8595.695061620057
wisard_3,1429070762000,3416.9423620303583
wisard_3,1429071242000,8645.742676600312
wisard_3,1429071482000,3437.4387615366427
wisard_3,1429072082000,17383.662806590783
wisard_3,1429072382000,17474.837284133253
wisard_3,1429072502000,10665.399325404338
wisard_3,1429072622000,17464.38421980011
wisard_3,1429072742000,17402.36426355784
wisard_3,1429072982000,10596.442410303996
wisard_3,1429073162000,5749.792457165165
wisard_3,1429073522000,8675.192142653359
wisard_3,1429074182000,8792.269602102611
wisard_3,1429074422000,8771.378520375081
wisard_3,1429074722000,10807.143380829171
wisard_3,1429074782000,17524.42417861391
wisard_3,1429074842000,8826.858083051962
wisard_3,1429074962000,17705.35997102411
wisard_3,1429075022000,5873.671615890736
wisard_3,1429075142000,17696.544403984226
wisard_3,1429075262000,17634.495171954433
wisard_3,1429075502000,17776.224770093788
wisard_3,1429075562000,8856.567827359246
wisard_3,1429075742000,17816.718940990744
wisard_3,1429075802000,27891.04187696394
wisard_3,1429075862000,17765.644889510004
wisard_3,1429076162000,18099.658174348184
wisard_3,1429076402000,17998.44202742752
wisard_3,1429076702000,8953.153062199828
wisard_3,1429076822000,9069.544862201275
wisard_3,1429077062000,18049.050100887853
wisard_3,1429077362000,18119.901403732318
wisard_3,1429077722000,18057.801041259703
wisard_3,1429077902000,18210.99593596091
wisard_3,1429078082000,28286.624134787446
wisard_3,1429078202000,4979.419742796094
wisard_3,1429078322000,17883.86924942366
wisard_3,1429078562000,18372.34856869307
wisard_3,1429078682000,9185.639769931
wisard_3,1429078862000,18564.622601143506
wisard_3,1429078922000,7000.588238813759
wisard_3,1429079162000,18036.45444024442
wisard_3,1429079282000,6051.912699575736
wisard_3,1429079642000,8986.656699287974
wisard_3,1429079822000,18045.168420304344
wisard_3,1429080002000,18036.45444024442
wisard_3,1429080242000,18127.503645340046
wisard_3,1429080362000,18107.270488652128
wisard_3,1429080482000,17802.398820100858
wisard_3,1429080542000,4452.004051944326
wisard_3,1429080842000,18228.669428779627
wisard_3,1429081082000,18287.93802050783
wisard_3,1429081382000,18299.485477187336
wisard_3,1429081502000,3825.2218812279257
wisard_3,1429081682000,20394.633942059798
wisard_3,1429081742000,12511.814309094454
wisard_3,1429082102000,22094.248477568053
wisard_3,1429082222000,8485.612220900428
wisard_3,1429082402000,11335.394794029693
wisard_3,1429082762000,23295.77692841387
wisard_3,1429083362000,23807.130651559924
wisard_3,1429083542000,14680.597913728014
wisard_3,1429083662000,6015.918596960789
wisard_3,1429083842000,24297.44130258592
wisard_3,1429083962000,24368.17547877536
wisard_3,1429084022000,14863.227804199763
wisard_3,1429084202000,24440.78993450928
wisard_3,1429084322000,24416.545697913505
wisard_3,1429084562000,12442.042445842324
wisard_3,1429084922000,25062.048497276
wisard_3,1429085102000,25206.503740325825
wisard_3,1429085522000,25513.24282042834
wisard_3,1429085582000,15531.794754811599
wisard_3,1429085702000,25357.54793519482
wisard_3,1429085942000,39844.12338256656
wisard_3,1429086062000,25442.191710962292
wisard_3,1429086542000,25783.03817407186
wisard_3,1429086602000,25744.248995738944
wisard_3,1429086662000,25585.35182754153
wisard_3,1429086842000,25676.190245707134
wisard_3,1429086902000,25612.175737781003
wisard_3,1429087082000,9838.660515177227
wisard_3,1429087202000,12951.723028810395
wisard_3,1429087262000,25729.469561726037
wisard_3,1429087502000,25886.32880712089
wisard_3,1429087562000,15817.347029225639
wisard_3,1429087622000,25717.010108848022
wisard_3,1429087742000,8601.922176249918
wisard_3,1429088162000,26179.520859938988
wisard_3,1429088522000,26041.808471668424
