name,tau
wisard_2,18406.4652886325
wisard_3,23175.6886103651
wisard_5,17682.4871745998
wisard_7,4898.68702806354
wisard_9,7338.84562668788
wisard_10,5677.75411801191
wisard_11,21030.5140541752
wisard_12,22999.925061221
wisard_16,22375.6154523277
wisard_17,5141.91918806991
wisard_18,4711.13868240901
wisard_19,6935.0330328413
