arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428689700000,1428689700000,4/10/2015,11:15:00:000,Fri Apr 10 11:15:00 MST 2015,11.66,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428689760000,1428689760000,4/10/2015,11:16:00:000,Fri Apr 10 11:16:00 MST 2015,11.68,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428689820000,1428689820000,4/10/2015,11:17:00:000,Fri Apr 10 11:17:00 MST 2015,11.87,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428689880000,1428689880000,4/10/2015,11:18:00:000,Fri Apr 10 11:18:00 MST 2015,11.85,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428689940000,1428689940000,4/10/2015,11:19:00:000,Fri Apr 10 11:19:00 MST 2015,11.66,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690000000,1428690000000,4/10/2015,11:20:00:000,Fri Apr 10 11:20:00 MST 2015,11.42,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690060000,1428690060000,4/10/2015,11:21:00:000,Fri Apr 10 11:21:00 MST 2015,11.54,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690120000,1428690120000,4/10/2015,11:22:00:000,Fri Apr 10 11:22:00 MST 2015,11.94,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690180000,1428690180000,4/10/2015,11:23:00:000,Fri Apr 10 11:23:00 MST 2015,12.32,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690240000,1428690240000,4/10/2015,11:24:00:000,Fri Apr 10 11:24:00 MST 2015,12.23,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690300000,1428690300000,4/10/2015,11:25:00:000,Fri Apr 10 11:25:00 MST 2015,11.73,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690360000,1428690360000,4/10/2015,11:26:00:000,Fri Apr 10 11:26:00 MST 2015,11.68,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690420000,1428690420000,4/10/2015,11:27:00:000,Fri Apr 10 11:27:00 MST 2015,11.73,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690480000,1428690480000,4/10/2015,11:28:00:000,Fri Apr 10 11:28:00 MST 2015,11.75,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690540000,1428690540000,4/10/2015,11:29:00:000,Fri Apr 10 11:29:00 MST 2015,12.15,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690600000,1428690600000,4/10/2015,11:30:00:000,Fri Apr 10 11:30:00 MST 2015,12.01,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690660000,1428690660000,4/10/2015,11:31:00:000,Fri Apr 10 11:31:00 MST 2015,11.77,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690720000,1428690720000,4/10/2015,11:32:00:000,Fri Apr 10 11:32:00 MST 2015,11.96,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690780000,1428690780000,4/10/2015,11:33:00:000,Fri Apr 10 11:33:00 MST 2015,11.87,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690840000,1428690840000,4/10/2015,11:34:00:000,Fri Apr 10 11:34:00 MST 2015,11.73,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690900000,1428690900000,4/10/2015,11:35:00:000,Fri Apr 10 11:35:00 MST 2015,11.49,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428690960000,1428690960000,4/10/2015,11:36:00:000,Fri Apr 10 11:36:00 MST 2015,11.66,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428691020000,1428691020000,4/10/2015,11:37:00:000,Fri Apr 10 11:37:00 MST 2015,11.7,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428691080000,1428691080000,4/10/2015,11:38:00:000,Fri Apr 10 11:38:00 MST 2015,11.82,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428691140000,1428691140000,4/10/2015,11:39:00:000,Fri Apr 10 11:39:00 MST 2015,11.99,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428691200000,1428691200000,4/10/2015,11:40:00:000,Fri Apr 10 11:40:00 MST 2015,12.06,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428691260000,1428691260000,4/10/2015,11:41:00:000,Fri Apr 10 11:41:00 MST 2015,12.23,Float32
arboretum_channelized/cr1000/OneMin/AirTC_Avg,1428691320000,1428691320000,4/10/2015,11:42:00:000,Fri Apr 10 11:42:00 MST 2015,12.51,Float32
